group_code,group_name,product_name,product_wape_%,share_of_category_error_%,bias,worst_period,max_ape_%,selected_model,calibration_type,validation_to_test_wape_gap,probable_reason
G02,Молочная продукция и яйца,"Консервы молочные, молочные составные сухие, сублимированные",24.91,43.77,систематическое завышение,2025Q3,38.31,seasonal_naive,combined,22.77,"модель хорошо прошла валидацию, но не перенеслась на проверочный год"
G02,Молочная продукция и яйца,Молоко питьевое,8.72,20.55,систематическое занижение,2025Q3,10.6,seasonal_naive,none,6.7,систематическое смещение прогноза
G02,Молочная продукция и яйца,сыры,8.29,20.11,систематическое занижение,2025Q4,14.44,seasonal_naive,additive,6.54,систематическое смещение прогноза
G02,Молочная продукция и яйца,Молочные напитки,13.06,15.58,систематическое занижение,2024Q4,25.02,sarimax,combined,2.58,резкий сдвиг уровня или нестандартный квартал
G04,"Овощи, фрукты и картофель",Свежий картофель,14.73,53.47,систематическое занижение,2025Q2,23.15,sarimax,additive,4.85,систематическое смещение прогноза
G04,"Овощи, фрукты и картофель",Свежие овощи,8.32,25.5,систематическое завышение,2025Q2,17.9,sarimax,multiplicative,6.95,"умеренная ошибка, распределенная по кварталам"
G04,"Овощи, фрукты и картофель",Свежие фрукты,7.55,21.02,систематическое завышение,2025Q2,17.81,sarimax,multiplicative,2.87,"умеренная ошибка, распределенная по кварталам"
G07,"Товары для дома, гигиены и бытовая химия",Стиральные машины,21.81,100.0,систематическое завышение,2025Q2,28.2,sarimax,none,16.81,"модель хорошо прошла валидацию, но не перенеслась на проверочный год"
G10,Топливо и транспортные товары,Газовое моторное топливо,61.63,47.17,систематическое завышение,2022Q4,74.7,sarimax,additive,54.43,"модель хорошо прошла валидацию, но не перенеслась на проверочный год"
G10,Топливо и транспортные товары,Автомобили легковые,41.7,37.96,систематическое завышение,2025Q2,60.96,seasonal_drift,multiplicative,33.62,"модель хорошо прошла валидацию, но не перенеслась на проверочный год"
G10,Топливо и транспортные товары,"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",21.77,5.81,систематическое завышение,2024Q2,27.28,seasonal_naive,combined,20.44,"модель хорошо прошла валидацию, но не перенеслась на проверочный год"
G10,Топливо и транспортные товары,Бензины автомобильные,7.81,4.66,систематическое занижение,2021Q2,22.03,seasonal_drift,none,1.28,"умеренная ошибка, распределенная по кварталам"
G10,Топливо и транспортные товары,Дизельное топливо,5.66,4.4,систематическое завышение,2022Q2,9.01,sarimax,multiplicative,2.72,"умеренная ошибка, распределенная по кварталам"
