product_name,product_code,group_code,group_name,lgbm_config_id,feature_set,params,used_features,observations_count,cv_years,WAPE_%,MAPE_%,MAE,RMSE
Автомобили легковые,S_автомобили_легковые,G10,Топливо и транспортные товары,no_exog_p0,no_exog,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff,12,2023; 2024; 2025,17.076790912877918,16.966449986257352,28.89743980396588,35.55302726579917
Бензины автомобильные,S_бензины_автомобильные,G10,Топливо и транспортные товары,realization_lag4_p2,realization_lag4,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; physical_volume_index_lag4,8,2020; 2021,7.484171021595605,8.183171634767358,7.880242248866747,11.89360784119899
Газовое моторное топливо,S_газовое_моторное_топливо,G10,Топливо и транспортные товары,core_lag4_p2,core_lag4,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4,12,2020; 2021; 2022,20.47445342176692,22.2244128134952,33.012194957167786,39.92884664303369
Дизельное топливо,S_дизельное_топливо,G10,Топливо и транспортные товары,price_lag4_p1,price_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4,12,2020; 2021; 2022,5.985879529130533,6.251470621990627,7.926532744177642,9.551733825077779
"Консервы молочные, молочные составные сухие, сублимированные",S_консервы_молочные_молочные_составные_сухие_сублимированные,G02,Молочная продукция и яйца,realization_lag4_p2,realization_lag4,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; physical_volume_index_lag4,12,2023; 2024; 2025,13.476485693712828,14.564161957455187,15.479772726611182,18.971255926962556
"Лампы накаливания (включая галогенные, кроме ламп для автотранспортных средств)",S_лампы_накаливания_включая_галогенные_кроме_ламп_для_автотранспортных_средств,G10,Топливо и транспортные товары,price_lag4_p2,price_lag4,"{'n_estimators': 400, 'learning_rate': 0.02, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 5, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4,12,2022; 2023; 2024,21.972169607473575,24.699704171025264,12.01188864659723,13.155188548754122
Макаронные изделия,S_макаронные_изделия,G01,"Хлеб, крупы, мука и макаронные изделия",all_lag4_p1,all_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4; physical_volume_index_lag4,12,2023; 2024; 2025,4.2187365599333315,4.210071833788128,4.838151697535775,6.588581113237321
Маргариновая продукция,S_маргариновая_продукция,G05,"Бакалея, масло, сахар, чай, соль",all_lag4_p1,all_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4; physical_volume_index_lag4,12,2023; 2024; 2025,6.449878855825768,6.4133692000002505,5.392478013971357,6.251580357280544
Молоко питьевое,S_молоко_питьевое,G02,Молочная продукция и яйца,all_lag4_p1,all_lag4,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'num_leaves': 15, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4; physical_volume_index_lag4,12,2023; 2024; 2025,4.938477670940976,4.917058340083582,6.195208698561859,7.004864890918202
Мука,S_мука,G01,"Хлеб, крупы, мука и макаронные изделия",all_lag4_p0,all_lag4,"{'n_estimators': 200, 'learning_rate': 0.03, 'max_depth': 2, 'num_leaves': 7, 'min_child_samples': 8, 'subsample': 0.9, 'colsample_bytree': 0.9}",product_name; group_name; quarter_num; time_idx; target_lag1; target_lag2; target_lag4; target_roll4_mean; target_roll4_std; target_yoy_diff; consumer_price_index_lag4; income_index_lag4; stock_days_mean_lag4; stock_value_mean_thousand_rub_lag4; ppi_product_index_quarter_mean_lag4; ppi_quarterly_index_lag4; physical_volume_index_lag4,12,2023; 2024; 2025,4.514171370065185,4.38359440526023,4.6400146181627555,5.75100660859533
